"CODDEPTO","DEPARTAMENTO","CODMPIO","MUNICIPIO","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023"
"19","CAUCA","19050","ARGELIA","206.3","218.0","93.0","65.0","153.0","161.0","637.0","483.0","300.0","296.0","200.0","470.0","121.0","1,328.0","959.7","1,754.5","1,956.5","2,370.0","2,351.5","2.549,6","2,850.0","3,086.0","3,319.0"
"19","CAUCA","19075","BALBOA","19.0","- 0","94.0","23.0","24.0","91.0","192.0","15.0","49.0","77.0","62.0","43.0","24.0","80.0","223.8","112.3","82.3","198.4","321.4","294","561.5","499.9","1,149.4"
"19","CAUCA","19100","BOLÍVAR","- 0","- 0","0.7","- 0","3.0","21.0","14.0","4.0","108.0","142.0","16.0","20.0","1.0","24.0","49.0","51.7","85.3","15.9","4.2","9,6","194.9","78.7","- 0"
"19","CAUCA","19110","BUENOS AIRES","- 0","- 0","- 0","- 0","- 0","- 0","- 0","10.0","5.0","- 0","- 0","- 0","- 0","16.0","27.0","2.2","64.5","125.7","442.8","507,2","930.4","794.3","1,467.5"
"19","CAUCA","19130","CAJIBÍO","30.5","- 0","- 0","- 0","4.0","- 0","- 0","- 0","2.0","- 0","- 0","7.0","- 0","15.0","69.0","132.5","407.2","323.1","355.1","235,2","325.6","364.4","567.5"
"19","CAUCA","19137","CALDONO","- 0","- 0","- 0","- 0","- 0","- 0","- 0","- 0","- 0","- 0","- 0","- 0","- 0","- 0","- 0","- 0","- 0","- 0","- 0","0","66.1","76.4","25.3"
"19","CAUCA","19142","CALOTO","- 0","- 0","- 0","- 0","- 0","- 0","- 0","- 0","- 0","- 0","- 0","- 0","- 0","- 0","16.1","26.3","- 0","1.6","18.5","10","8.1","7.6","11.1"
"19","CAUCA","19212","CORINTO","- 0","- 0","- 0","- 0","- 0","- 0","- 0","- 0","- 0","- 0","- 0","- 0","- 0","- 0","26.7","38.9","- 0","10.5","10.9","8,5","11.3","8.5","21.5"
"19","CAUCA","19256","EL TAMBO","1,303.0","698.0","187.0","203.0","629.0","307.0","803.0","1,240.0","1,284.0","1,560.0","1,514.0","1,876.0","1,297.0","2,522.0","3,468.2","5,300.3","6,661.0","7,243.0","7,102.5","7.483,6","8,737.4","9,223.6","9,392.2"
"19","CAUCA","19290","FLORENCIA","- 0","- 0","- 0","- 0","- 0","8.0","- 0","- 0","12.0","29.0","- 0","- 0","- 0","- 0","- 0","- 0","- 0","- 0","- 0","0","- 0","- 0","- 0"
"19","CAUCA","19318","GUAPI","55.4","102.0","146.0","374.0","489.0","121.0","414.0","1,434.0","1,368.0","1,022.0","984.0","396.0","182.0","191.0","256.9","525.8","720.9","678.6","634.9","594,7","1,825.2","1,558.9","1,610.5"
"19","CAUCA","19364","JAMBALÓ","- 0","- 0","- 0","- 0","- 0","- 0","- 0","- 0","- 0","- 0","- 0","- 0","- 0","- 0","- 0","- 0","- 0","- 0","69.0","39,1","60.5","35.9","22.3"
"19","CAUCA","19392","LA SIERRA","- 0","- 0","- 0","- 0","- 0","- 0","- 0","4.0","- 0","- 0","- 0","- 0","- 0","- 0","- 0","- 0","- 0","- 0","- 0","0","- 0","- 0","- 0"
"19","CAUCA","19397","LA VEGA","- 0","- 0","- 0","- 0","- 0","8.0","- 0","1.0","- 0","- 0","- 0","- 0","- 0","- 0","- 0","- 0","- 0","- 0","- 0","0","- 0","- 0","- 0"
"19","CAUCA","19418","LÓPEZ","58.0","97.0","15.0","59.0","63.0","79.0","273.0","476.0","921.0","791.0","1,040.0","341.0","548.0","686.0","867.2","941.4","1,468.0","1,319.8","1,308.3","1.085,1","1,774.6","1,656.5","1,866.4"
"19","CAUCA","19450","MERCADERES","- 0","- 0","3.0","- 0","- 0","31.0","8.0","- 0","75.0","137.0","420.0","17.0","21.0","120.0","95.1","140.7","126.5","25.1","- 0","0","45.5","25.3","- 0"
"19","CAUCA","19455","MIRANDA","- 0","- 0","- 0","- 0","- 0","- 0","- 0","- 0","- 0","- 0","- 0","- 0","- 0","- 0","3.7","6.0","- 0","2.3","58.7","34,5","38.5","30.9","14.4"
"19","CAUCA","19473","MORALES","102.0","- 0","- 0","- 0","9.0","10.0","118.0","29.0","32.0","55.0","32.0","76.0","17.0","70.0","155.3","166.9","340.3","309.8","361.7","393,4","648.8","783.8","1,532.3"
"19","CAUCA","19532","PATÍA  (El Bordo)","- 0","- 0","- 0","- 0","6.0","83.0","48.0","105.0","109.0","82.0","51.0","58.0","76.0","97.0","203.5","328.0","350.3","405.0","377.0","485,3","865.9","1,110.3","2,908.5"
"19","CAUCA","19533","PIAMONTE","899.2","818.0","651.0","281.0","517.0","594.0","669.0","523.0","165.0","131.0","253.0","516.0","461.0","602.0","1,166.9","1,458.5","1,780.4","1,997.2","1,905.1","867,1","1,550.1","2,771.2","2,932.9"
"19","CAUCA","19548","PIENDAMÓ","- 0","- 0","- 0","- 0","- 0","- 0","- 0","- 0","- 0","- 0","- 0","- 0","- 0","- 0","- 0","- 0","- 0","- 0","- 0","0","8.6","12.5","58.2"
"19","CAUCA","19622","ROSAS","- 0","- 0","- 0","- 0","- 0","- 0","- 0","- 0","- 0","- 0","- 0","- 0","- 0","- 0","- 0","- 0","2.8","3.9","- 0","0","10.9","12.8","52.1"
"19","CAUCA","19701","SANTA ROSA","- 0","3.0","0.4","- 0","229.0","135.0","- 0","16.0","12.0","- 0","- 0","- 0","- 0","- 0","- 0","- 0","- 0","- 0","54.9","0","- 0","68.7","64.3"
"19","CAUCA","19698","SANTANDER DE QUILICHAO","- 0","- 0","- 0","- 0","- 0","- 0","- 0","- 0","- 0","- 0","- 0","- 0","- 0","- 0","- 0","- 0","- 0","- 0","- 0","5,5","356.1","166.0","157.4"
"19","CAUCA","19760","SOTARÁ (Paispamba)","24.0","- 0","- 0","- 0","- 0","- 0","- 0","- 0","- 0","- 0","- 0","- 0","- 0","- 0","- 0","- 0","- 0","- 0","- 0","0","- 0","- 0","- 0"
"19","CAUCA","19780","SUÁREZ","2.0","- 0","- 0","- 0","- 0","- 0","32.0","32.0","4.0","1.0","- 0","- 0","1.0","49.0","139.7","170.5","267.2","383.5","501.7","668,5","804.7","923.5","1,580.9"
"19","CAUCA","19785","SUCRE","- 0","- 0","- 0","- 0","- 0","- 0","- 0","- 0","- 0","- 0","- 0","- 0","5.0","17.0","15.6","18.7","13.5","6.8","4.0","8,5","46.2","28.2","- 0"
"19","CAUCA","19807","TIMBÍO","40.9","- 0","- 0","- 0","- 0","3.0","- 0","- 0","- 0","- 0","- 0","- 0","- 0","- 0","- 0","- 0","- 0","- 0","- 0","0","- 0","1.4","18.4"
"19","CAUCA","19809","TIMBIQUÍ","188.7","185.0","253.0","260.3","579.0","453.0","960.0","1,050.0","1,698.0","1,581.0","1,494.0","507.0","572.0","572.0","907.5","1,405.7","1,633.5","1,696.9","1,464.0","1.263","3,376.1","2,896.8","3,071.8"
"19","CAUCA","19821","TORIBÍO","- 0","- 0","- 0","- 0","- 0","- 0","- 0","- 0","- 0","- 0","- 0","- 0","- 0","- 0","9.5","14.9","- 0","- 0","10.0","1,5","2.4","1.0","- 0"
"20","CESAR","20178","CHIRIGUANÁ","- 0","- 0","- 0","- 0","- 0","- 0","- 0","- 0","- 0","- 0","- 0","- 0","- 0","- 0","- 0","- 0","2.4","- 0","- 0","0","- 0","- 0","- 0"
"20","CESAR","20310","GONZÁLEZ","- 0","- 0","- 0","- 0","- 0","- 0","- 0","- 0","- 0","- 0","- 0","5.0","4.0","2.0","16.2","6.6","7.8","7.1","23.6","28,5","9.3","7.7","- 0"
"20","CESAR","20517","PAILITAS","- 0","- 0","- 0","- 0","- 0","- 0","- 0","5.0","- 0","- 0","- 0","- 0","- 0","- 0","- 0","- 0","- 0","- 0","- 0","0","- 0","- 0","- 0"
"20","CESAR","20710","SAN ALBERTO","- 0","- 0","- 0","- 0","- 0","- 0","- 0","- 0","- 0","- 0","- 0","4.0","6.0","5.0","15.5","17.3","10.7","13.8","6.3","2","- 0","- 0","- 0"
"20","CESAR","20770","SAN MARTÍN","- 0","- 0","- 0","- 0","- 0","- 0","- 0","- 0","- 0","- 0","- 0","3.0","3.0","3.0","1.6","2.6","3.4","10.2","8.3","1,7","1.3","- 0","- 0"
"27","CHOCÓ","27006","ACANDÍ","- 0","- 0","- 0","- 0","- 0","- 0","- 0","- 0","- 0","- 0","6.0","4.0","2.0","4.0","3.3","2.2","9.0","4.5","4.8","1,7","1.3","6.3","6.6"
"27","CHOCÓ","27025","ALTO BAUDÓ (Pie de Pató)","- 0","- 0","45.0","12.0","104.0","7.0","259.0","391.0","159.0","489.0","196.0","268.0","105.0","135.0","47.9","58.0","39.2","21.6","38.8","34,1","115.8","173.9","245.1"
"27","CHOCÓ","27050","ATRATO (Yuto)","- 0","- 0","- 0","- 0","- 0","- 0","- 0","- 0","4.0","- 0","- 0","8.0","2.0","- 0","- 0","- 0","- 0","- 0","- 0","0","- 0","1.8","1.6"
"27","CHOCÓ","27075","BAHÍA SOLANO (Mutis)","- 0","- 0","- 0","- 0","- 0","- 0","- 0","- 0","- 0","7.0","- 0","- 0","- 0","- 0","- 0","- 0","- 0","- 0","- 0","0","- 0","- 0","- 0"
"27","CHOCÓ","27077","BAJO BAUDÓ  (Pizarro)","- 0","- 0","177.0","78.0","332.0","82.0","353.0","1,114.0","147.0","341.0","248.0","562.0","145.0","218.0","131.2","138.2","79.8","53.7","21.5","16,4","91.5","101.6","75.6"
"27","CHOCÓ","27099","BOJAYÁ (Bellavista)","- 0","- 0","- 0","- 0","- 0","- 0","- 0","- 0","- 0","- 0","4.0","2.0","- 0","- 0","- 0","- 0","- 0","- 0","- 0","0","- 0","- 0","- 0"
"27","CHOCÓ","27150","CARMEN DEL DARIÉN  (Curbaradó)","- 0","- 0","- 0","- 0","- 0","- 0","- 0","- 0","- 0","- 0","- 0","63.0","76.0","23.0","48.1","98.3","160.0","153.4","232.4","192,7","778.9","702.6","1,035.4"
"27","CHOCÓ","27205","CONDOTO","- 0","- 0","- 0","1.0","3.0","- 0","6.0","55.0","13.0","33.0","59.0","10.0","7.0","10.0","20.6","3.4","13.5","11.4","11.2","7,9","20.9","10.3","15.0"
"27","CHOCÓ","27135","EL CANTÓN DEL SAN PABLO","- 0","- 0","1.4","12.0","48.0","- 0","25.0","52.0","63.0","133.0","68.0","58.0","29.0","50.0","47.8","34.8","11.7","5.5","- 0","0","19.2","22.0","29.4"
"27","CHOCÓ","27250","EL LITORAL DEL SAN JUAN","- 0","- 0","- 0","1.3","2.0","3.0","11.0","102.0","24.0","60.0","36.0","144.0","67.0","120.0","38.0","98.4","184.5","138.4","59.4","50,9","63.5","81.9","100.8"
"27","CHOCÓ","27361","ISTMINA","- 0","- 0","57.0","36.0","196.0","210.0","205.0","425.0","497.0","847.0","684.0","760.0","369.0","517.0","303.1","476.7","743.1","577.4","228.9","200,2","462.8","311.8","390.3"
"27","CHOCÓ","27372","JURADÓ","- 0","- 0","- 0","- 0","- 0","- 0","- 0","- 0","- 0","13.0","18.0","9.0","9.0","- 0","- 0","- 0","- 0","- 0","- 0","0","- 0","- 0","- 0"
"27","CHOCÓ","27413","LLORÓ","- 0","- 0","- 0","- 0","- 0","- 0","- 0","- 0","- 0","10.0","- 0","4.0","- 0","- 0","- 0","- 0","1.4","- 0","- 0","4,2","13.5","8.0","2.1"
"27","CHOCÓ","27425","MEDIO ATRATO (Beté)","- 0","- 0","- 0","- 0","- 0","- 0","- 0","- 0","- 0","4.0","3.0","4.0","- 0","- 0","- 0","- 0","- 0","- 0","- 0","0","- 0","- 0","- 0"
"27","CHOCÓ","27430","MEDIO BAUDÓ (Boca de Pepé)","- 0","- 0","4.2","11.0","68.0","24.0","77.0","228.0","254.0","333.0","352.0","606.0","177.0","231.0","134.8","68.9","64.5","43.4","36.6","39,8","161.5","170.2","315.4"
"27","CHOCÓ","27450","MEDIO SAN JUAN (Andagoya)","- 0","- 0","- 0","- 0","- 0","- 0","- 0","- 0","- 0","- 0","- 0","305.0","192.0","153.0","304.9","136.3","305.1","225.0","81.2","82,5","249.0","218.3","358.1"
"27","CHOCÓ","27491","NÓVITA","- 0","- 0","93.0","30.0","90.0","237.0","76.0","215.0","190.0","249.0","464.0","165.0","91.0","53.0","78.9","75.3","162.3","130.3","69.3","61,9","143.7","133.9","135.5"
"27","CHOCÓ","27495","NUQUÍ","- 0","- 0","- 0","2.0","5.0","2.0","8.0","23.0","19.0","13.0","12.0","33.0","3.0","6.0","- 0","- 0","- 0","- 0","- 0","0","- 0","- 0","- 0"
"27","CHOCÓ","27001","QUIBDÓ","- 0","- 0","- 0","- 0","3.0","3.0","3.0","7.0","42.0","26.0","14.0","25.0","11.0","2.0","5.8","3.8","7.2","3.5","5.1","12,6","26.1","27.1","46.4"
"27","CHOCÓ","27580","RÍO IRÓ (Santa Rita)","- 0","- 0","- 0","- 0","- 0","- 0","- 0","- 0","- 0","- 0","- 0","12.0","12.0","13.0","14.1","7.9","27.7","16.3","6.5","9,9","26.3","16.5","39.7"
"27","CHOCÓ","27600","RÍO QUITO (Paimadó)","- 0","- 0","- 0","9.0","21.0","- 0","22.0","9.0","- 0","30.0","16.0","16.0","3.0","3.0","2.6","- 0","- 0","- 0","- 0","0","10.5","3.4","9.5"
"27","CHOCÓ","27615","RIOSUCIO","354.0","- 0","- 0","- 0","- 0","- 0","- 0","- 0","75.0","243.0","86.0","196.0","130.0","40.0","90.7","35.8","113.9","104.0","148.8","155,7","1,036.1","1,055.8","1,643.6"
"27","CHOCÓ","27660","SAN JOSÉ DEL PALMAR","- 0","- 0","- 0","- 0","- 0","- 0","7.0","94.0","57.0","107.0","104.0","43.0","92.0","47.0","44.4","323.4","392.5","391.6","180.9","253,8","1,040.4","1,614.0","1,477.7"
"27","CHOCÓ","27745","SIPÍ","- 0","- 0","76.0","127.0","150.0","248.0","28.0","74.0","122.0","191.0","130.0","125.0","106.0","99.0","91.3","217.9","258.0","247.0","110.1","168,4","382.1","470.1","428.6"
"27","CHOCÓ","27787","TADÓ","- 0","- 0","- 0","2.0","1.5","- 0","- 0","5.0","- 0","- 0","4.0","3.0","2.0","3.0","5.5","3.2","2.7","- 0","- 0","0","- 0","- 0","- 0"
"27","CHOCÓ","27800","UNGUÍA","- 0","- 0","- 0","- 0","- 0","- 0","- 0","- 0","- 0","29.0","6.0","4.0","31.0","14.0","75.9","20.7","34.7","28.3","12.7","175,2","417.5","425.3","525.8"
"27","CHOCÓ","27810","UNIÓN PANAMERICANA (Ánimas)","- 0","- 0","- 0","2.1","1.4","- 0","- 0","- 0","- 0","- 0","1.0","- 0","- 0","- 0","- 0","- 0","- 0","- 0","- 0","0","- 0","- 0","- 0"
"23","CÓRDOBA","23350","LA APARTADA","6.6","- 0","- 0","- 0","- 0","- 0","- 0","- 0","- 0","- 0","- 0","- 0","- 0","- 0","- 0","- 0","- 0","- 0","- 0","0","- 0","- 0","- 0"
"23","CÓRDOBA","23466","MONTELÍBANO","40.6","66.0","232.7","428.0","1,021.0","376.0","360.0","621.0","681.0","835.0","240.0","224.0","43.0","77.0","186.7","573.9","1,181.1","974.0","540.6","762","1,143.3","1,054.7","1,295.0"
"23","CÓRDOBA","23580","PUERTO LIBERTADOR","270.8","141.0","193.0","339.0","978.0","447.0","1,084.0","464.0","728.0","579.0","243.0","214.0","36.0","64.0","207.5","570.6","1,412.2","1,013.9","855.9","1.149","1,374.3","1,318.8","1,539.1"
"23","CÓRDOBA","23682","SAN JOSÉ DE URÉ","- 0","- 0","- 0","- 0","- 0","- 0","- 0","- 0","- 0","- 0","- 0","99.0","13.0","42.0","98.0","231.9","552.7","441.7","340.9","514,2","575.8","520.4","694.8"
"23","CÓRDOBA","23807","TIERRALTA","322.0","178.0","399.0","669.0","1,124.0","389.0","414.0","624.0","1,360.0","2,474.0","604.0","509.0","341.0","376.0","858.6","1,290.1","1,629.7","2,201.3","1,140.2","1.319,8","2,379.5","3,451.5","3,873.0"
"23","CÓRDOBA","23855","VALENCIA","- 0","- 0","13.0","99.0","13.0","4.0","- 0","1.0","12.0","1.0","1.0","- 0","6.0","1.0","12.3","1.8","4.7","5.5","4.3","3,8","7.7","18.3","23.7"
"25","CUNDINAMARCA","25148","CAPARRAPÍ","- 0","- 0","- 0","- 0","- 0","3.0","4.0","- 0","- 0","1.0","1.0","- 0","- 0","- 0","- 0","- 0","- 0","- 0","- 0","0","- 0","- 0","- 0"
"25","CUNDINAMARCA","25518","PAIME","- 0","- 0","12.0","4.0","- 0","2.0","2.0","- 0","- 0","- 0","- 0","- 0","- 0","- 0","- 0","- 0","- 0","- 0","- 0","0","- 0","- 0","- 0"
"25","CUNDINAMARCA","25823","TOPAIPÍ","- 0","- 0","5.9","8.0","- 0","2.0","1.0","- 0","- 0","- 0","- 0","- 0","- 0","- 0","- 0","- 0","- 0","- 0","- 0","0","- 0","- 0","- 0"
"25","CUNDINAMARCA","25885","YACOPÍ","1.6","57.0","39.0","60.0","56.0","113.0","124.0","12.0","- 0","31.0","17.0","- 0","- 0","- 0","- 0","- 0","- 0","- 0","- 0","0","- 0","- 0","- 0"
"94","GUAINÍA","94343","BARRANCO MINA (Cor. Departamental)","363.8","232.0","405.0","342.0","396.0","362.0","308.0","155.0","275.0","122.0","89.0","67.0","30.0","11.0","4.3","2.3","- 0","- 0","- 0","0","- 0","- 0","- 0"
"94","GUAINÍA","94001","INIRIDA","276.0","247.0","137.0","134.0","182.0","186.0","150.0","187.0","114.0","147.0","135.0","105.0","27.0","19.0","- 0","- 0","- 0","- 0","- 0","0","- 0","- 0","- 0"
"94","GUAINÍA","94663","MAPIRIPANA (Cor. Departamental)","- 0","- 0","- 0","- 0","- 0","- 0","- 0","- 0","- 0","- 0","- 0","50.0","19.0","28.0","16.7","3.5","3.7","- 0","- 0","0","- 0","- 0","- 0"
"94","GUAINÍA","94888","MORICHAL (Morichal Nuevo) (Cor. Departamental)","221.0","114.0","162.0","185.0","117.0","164.0","102.0","117.0","77.0","93.0","66.0","62.0","4.0","3.0","15.7","15.9","26.8","41.2","22.3","19,2","48.7","36.9","41.7"
"94","GUAINÍA","94887","PANÁ PANÁ (Campo Alegre) (Cor. Departamental)","68.0","38.0","7.0","43.0","38.0","27.0","28.0","40.0","30.0","29.0","28.0","12.0","1.0","2.0","- 0","- 0","- 0","- 0","- 0","0","- 0","- 0","- 0"
"94","GUAINÍA","94884","PUERTO COLOMBIA (Cor. Departamental)","191.0","117.0","15.0","17.3","19.0","14.0","35.0","126.0","42.0","55.0","- 0","5.0","- 0","3.0","- 0","- 0","- 0","- 0","- 0","0","- 0","- 0","- 0"
"95","GUAVIARE","95015","CALAMAR","4,966.0","4,297.0","2,172.0","1,186.0","1,175.0","1,497.0","1,147.0","808.0","721.0","546.0","862.0","458.0","399.0","614.0","455.2","542.3","416.4","241.8","144.5","189,3","202.6","190.3","158.6"
"95","GUAVIARE","95025","EL RETORNO","4,231.0","4,458.0","5,070.0","3,183.0","2,648.0","2,799.0","3,272.0","2,415.0","2,371.0","1,732.0","1,701.0","1,028.0","1,314.0","1,600.0","1,615.4","2,191.6","1,405.7","1,545.1","1,194.7","1.265,3","1,648.8","2,191.9","2,182.3"
"95","GUAVIARE","95200","MIRAFLORES","11,777.1","14,606.0","2,248.0","1,646.0","1,704.0","1,382.0","1,699.0","1,263.0","2,325.0","1,719.0","2,590.0","1,391.0","1,780.0","1,922.0","1,851.5","2,297.2","1,699.3","1,378.4","1,021.8","1.060,4","1,297.3","1,116.0","1,032.0"
"95","GUAVIARE","95001","SAN JOSÉ DEL GUAVIARE","3,089.5","4,019.0","6,673.0","3,755.0","3,131.0","3,799.0","3,181.0","2,143.0","2,907.0","1,704.0","1,686.0","973.0","1,232.0","1,522.0","1,501.0","1,807.0","1,401.3","1,174.6","757.8","711,6","1,286.6","1,436.6","1,597.5"
"44","LA GUAJIRA","44090","DIBULLA","193.7","349.0","275.3","556.0","327.0","166.0","87.0","160.0","163.0","132.0","16.0","10.0","6.0","- 0","- 0","- 0","1.7","1.6","- 0","0","- 0","- 0","- 0"
"44","LA GUAJIRA","44001","RIOHACHA","- 0","5.0","0.2","- 0","2.0","- 0","- 0","- 0","- 0","2.0","- 0","- 0","- 0","- 0","- 0","- 0","- 0","- 0","- 0","0","- 0","- 0","- 0"
"47","MAGDALENA","47053","ARACATACA","- 0","- 0","- 0","- 0","- 0","- 0","- 0","- 0","22.0","36.0","13.0","6.0","1.0","1.0","2.1","- 0","- 0","- 0","- 0","0","- 0","- 0","- 0"
"47","MAGDALENA","47189","CIÉNAGA","11.7","1.0","45.1","6.0","- 0","13.0","1.0","23.0","4.0","20.0","3.0","3.0","- 0","- 0","- 0","- 0","- 0","- 0","- 0","0","- 0","- 0","- 0"
"47","MAGDALENA","47288","FUNDACIÓN","- 0","- 0","- 0","- 0","- 0","- 0","- 0","- 0","15.0","- 0","- 0","- 0","1.0","- 0","- 0","- 0","- 0","- 0","- 0","0","- 0","- 0","- 0"
"47","MAGDALENA","47001","SANTA MARTA (Distrito Turístico Cultural e Histórico)","438.6","643.0","439.0","700.0","213.0","258.0","277.0","368.0","111.0","65.0","30.0","28.0","35.0","8.0","4.7","34.9","7.9","12.5","6.9","2,1","2.5","3.0","2.2"
"50","META","50350","LA MACARENA","4,203.1","2,084.0","1,033.0","1,422.0","660.0","574.0","565.0","218.0","189.0","186.0","151.0","228.0","307.0","1,431.0","1,333.1","1,635.2","1,647.6","560.2","177.9","53,9","73.8","77.0","167.9"
"50","META","50400","LEJANÍAS","- 0","- 0","- 0","- 0","- 0","- 0","- 0","- 0","- 0","- 0","- 0","- 0","- 0","3.0","- 0","- 0","- 0","- 0","- 0","0","- 0","- 0","- 0"
"50","META","50325","MAPIRIPÁN","1,805.4","2,141.0","5,368.0","2,657.0","2,658.0","3,311.0","2,230.0","2,180.0","2,123.0","1,144.0","1,109.0","144.0","437.0","180.0","235.3","338.4","315.7","231.9","134.8","130,5","284.6","445.8","537.0"
"50","META","50330","MESETAS","533.7","619.0","533.0","262.0","143.0","67.0","56.0","62.0","19.0","7.0","- 0","29.0","37.0","79.0","78.5","104.2","86.7","45.2","- 0","0","- 0","- 0","- 0"
"50","META","50450","PUERTO CONCORDIA","147.2","299.0","769.0","943.0","363.0","439.0","182.0","75.0","82.0","76.0","91.0","70.0","49.0","82.0","50.3","63.9","77.8","35.0","19.0","14","14.2","30.9","46.8"
"50","META","50568","PUERTO GAITÁN","111.4","147.0","641.0","1,518.0","168.0","214.0","231.0","386.0","212.0","181.0","122.0","86.0","7.0","3.0","- 0","- 0","- 0","- 0","- 0","0","- 0","- 0","- 0"
"50","META","50577","PUERTO LLERAS","45.8","102.0","171.0","1,261.0","1,511.0","578.0","494.0","134.0","30.0","13.0","20.0","31.0","14.0","8.0","13.4","27.4","24.2","9.3","- 0","0","- 0","- 0","- 0"
"50","META","50573","PUERTO LÓPEZ","- 0","- 0","0.3","- 0","- 0","- 0","- 0","- 0","- 0","- 0","- 0","- 0","- 0","- 0","- 0","- 0","- 0","- 0","- 0","0","- 0","- 0","- 0"
"50","META","50590","PUERTO RICO","1,701.2","2,426.0","2,437.0","6,393.0","7,040.0","3,519.0","2,658.0","938.0","860.0","757.0","883.0","1,064.0","1,101.0","1,616.0","1,619.7","1,592.8","1,773.2","1,081.9","616.8","578,9","746.0","748.3","846.1"
"50","META","50683","SAN JUAN DE ARAMA","35.3","17.0","17.0","18.0","49.0","17.0","116.0","39.0","27.0","87.0","48.0","29.0","91.0","121.0","155.8","48.4","70.3","46.1","24.3","19,5","15.7","17.7","30.1"
"50","META","50689","SAN MARTÍN","- 0","3.0","7.1","161.0","8.0","23.0","1.0","- 0","- 0","- 0","19.0","- 0","- 0","- 0","- 0","- 0","- 0","- 0","- 0","0","- 0","- 0","- 0"
"50","META","50370","URIBE","880.2","452.0","481.0","632.0","264.0","32.0","61.0","6.0","8.0","36.0","72.0","110.0","49.0","182.0","162.8","202.3","108.8","78.4","4.6","10,8","- 0","- 0","- 0"
"50","META","50711","VISTAHERMOSA","1,283.2","929.0","1,357.0","3,473.0","4,441.0","2,289.0","3,792.0","1,487.0","745.0","521.0","524.0","908.0","806.0","1,337.0","1,353.2","1,451.3","1,473.1","856.6","488.2","427,3","505.6","513.9","566.4"
"52","NARIÑO","52036","ANCUYA","- 0","- 0","- 0","- 0","43.0","- 0","17.0","2.0","3.0","- 0","- 0","- 0","- 0","3.0","21.0","24.3","45.6","24.6","16.3","14,9","56.1","57.7","40.0"
"52","NARIÑO","52079","BARBACOAS","713.7","2,187.0","2,767.0","1,469.0","1,920.0","1,460.0","1,586.0","3,080.0","2,928.0","3,433.0","3,193.0","1,815.0","1,511.0","1,330.0","2,453.5","3,359.4","4,590.5","3,516.3","3,138.1","2.569,4","3,463.2","3,773.1","4,367.8"
"52","NARIÑO","52110","BUESACO","- 0","- 0","- 0","- 0","- 0","- 0","- 0","- 0","- 0","- 0","- 0","4.0","- 0","- 0","- 0","- 0","- 0","- 0","- 0","0","- 0","- 0","- 0"
"52","NARIÑO","52207","CONSACÁ","- 0","- 0","- 0","- 0","5.0","- 0","- 0","- 0","- 0","- 0","- 0","- 0","- 0","- 0","- 0","- 0","- 0","- 0","- 0","0","- 0","- 0","- 0"
"52","NARIÑO","52210","CONTADERO","2.0","- 0","- 0","- 0","- 0","- 0","- 0","- 0","- 0","- 0","- 0","- 0","- 0","- 0","- 0","- 0","- 0","- 0","- 0","0","- 0","- 0","- 0"
"52","NARIÑO","52215","CÓRDOBA","1.0","- 0","- 0","- 0","- 0","- 0","- 0","- 0","- 0","- 0","- 0","- 0","- 0","- 0","- 0","- 0","- 0","- 0","- 0","0","- 0","- 0","- 0"
"52","NARIÑO","52227","CUMBAL","- 0","- 0","- 0","- 0","- 0","2.0","- 0","- 0","- 0","- 0","- 0","- 0","- 0","- 0","- 0","- 0","- 0","- 0","- 0","0","- 0","- 0","- 0"
"52","NARIÑO","52233","CUMBITARA","3.0","140.0","301.0","127.2","329.0","483.0","452.0","250.0","451.0","221.0","194.0","97.0","115.0","107.0","209.5","527.3","666.8","778.2","684.4","504","1,387.8","1,211.7","1,164.3"
"52","NARIÑO","52250","EL CHARCO","984.5","798.0","699.0","649.0","741.0","741.0","1,728.0","2,202.0","1,130.0","748.0","1,080.0","702.0","1,020.0","1,263.0","1,417.8","2,819.9","4,630.7","5,147.7","5,318.3","4.674","8,952.4","8,694.7","9,258.0"
"52","NARIÑO","52254","EL PEÑOL","- 0","- 0","- 0","- 0","- 0","- 0","91.0","- 0","19.0","86.0","- 0","- 0","1.0","23.0","34.9","51.2","97.3","55.8","50.4","36,6","79.4","72.6","66.0"
"52","NARIÑO","52256","EL ROSARIO","28.2","102.0","230.0","221.0","508.0","372.0","434.0","273.0","290.0","253.0","203.0","169.0","127.0","133.0","244.6","573.9","765.4","842.5","782.2","659,1","1,576.8","1,463.4","1,470.1"
"52","NARIÑO","52260","EL TAMBO","- 0","- 0","- 0","- 0","7.0","- 0","13.0","2.0","4.0","65.0","- 0","- 0","1.0","20.0","114.3","97.6","176.3","98.5","60.1","47,7","115.6","98.9","50.9"
"52","NARIÑO","52520","FRANCISCO PIZARRO (Salahonda)","37.4","45.0","16.0","107.0","153.0","192.0","501.0","407.0","189.0","189.0","207.0","59.0","61.0","66.0","91.8","157.4","258.1","304.8","347.5","316,4","501.5","537.7","563.9"
"52","NARIÑO","52356","IPIALES","1,130.5","350.0","212.0","520.0","629.0","357.0","123.0","215.0","192.0","139.0","247.0","162.0","370.0","664.0","887.5","1,132.1","1,273.7","928.5","1,204.2","967,3","1,282.1","1,815.8","1,974.5"
